,bill_resolution_type,bill_type,bill_type_label,congress,current_status,current_status_date,current_status_description,current_status_label,display_number,docs_house_gov_postdate,id,introduced_date,is_alive,is_current,link,lock_title,major_actions,noun,number,senate_floor_schedule_postdate,sliplawnum,sliplawpubpriv,source,source_link,sponsor.bioguideid,sponsor.birthday,sponsor.cspanid,sponsor.firstname,sponsor.gender,sponsor.gender_label,sponsor.id,sponsor.lastname,sponsor.link,sponsor.middlename,sponsor.name,sponsor.namemod,sponsor.nickname,sponsor.osid,sponsor.pvsid,sponsor.sortname,sponsor.twitterid,sponsor.youtubeid,sponsor_role.caucus,sponsor_role.congress_numbers,sponsor_role.current,sponsor_role.description,sponsor_role.district,sponsor_role.enddate,sponsor_role.extra,sponsor_role.extra.address,sponsor_role.extra.contact_form,sponsor_role.extra.fax,sponsor_role.extra.office,sponsor_role.id,sponsor_role.leadership_title,sponsor_role.party,sponsor_role.person,sponsor_role.phone,sponsor_role.role_type,sponsor_role.role_type_label,sponsor_role.senator_class,sponsor_role.senator_class_label,sponsor_role.senator_rank,sponsor_role.startdate,sponsor_role.state,sponsor_role.title,sponsor_role.title_long,sponsor_role.website,thomas_link,title,title_without_number,titles,clean_title
0,bill,house_bill,H.R.,103,referred,1993-03-10,"This bill was introduced on March 10, 1993, in a previous session of Congress, but was not enacted.",Referred to Committee,H.R. 1299,,127850,1993-03-10,False,False,https://www.govtrack.us/congress/bills/103/hr1299,False,"[[datetime.datetime(1993, 3, 10, 0, 0), 2, Referred to the House Committee on Banking, Finance + Urban Affrs., <action datetime=""1993-03-10"" state=""REFERRED"">
      <text>Referred to the House Committee on Banking, Finance + Urban Affrs.</text>
    </action>
    ]]",bill,1299,,,,thomas-congproj,,S000033,1941-09-08,994,Bernard,male,Male,400357,Sanders,https://www.govtrack.us/congress/members/bernard_sanders/400357,,Sen. Bernard “Bernie” Sanders [I-VT],,Bernie,N00000528,27110,"Sanders, Bernard “Bernie” (Sen.) [I-VT]",SenSanders,senatorsanders,,[103],False,Representative for Vermont At Large,0.0,1995-01-03,,,,,,3005,,Independent,400357,,representative,Representative,,,,1993-01-05,VT,Rep.,Representative,,http://thomas.loc.gov/cgi-bin/bdquery/z?d103:hr1299:,H.R. 1299 (103rd): Resolution Trust Corporation Fair Funding Act of 1993,Resolution Trust Corporation Fair Funding Act of 1993,"[[short, introduced, Resolution Trust Corporation Fair Funding Act of 1993], [official, introduced, To provide funding for the Resolution Trust Corporation to meet immediate needs and to authorize additional funding for the Corporation subject to a requirement that the President submit a plan for fully paying for such funding, including interest costs, over the next 5 years, and for other purposes.]]",Resolution Trust Corporation Fair Funding Act of 1993
1,bill,house_bill,H.R.,103,referred,1993-01-27,"This bill was introduced on January 27, 1993, in a previous session of Congress, but was not enacted.",Referred to Committee,H.R. 692,,128006,1993-01-27,False,False,https://www.govtrack.us/congress/bills/103/hr692,False,"[[datetime.datetime(1993, 1, 27, 0, 0), 2, Referred to the House Committee on Education and Labor., <action datetime=""1993-01-27"" state=""REFERRED"">
      <text>Referred to the House Committee on Education and Labor.</text>
    </action>
    ]]",bill,692,,,,thomas-congproj,,S000033,1941-09-08,994,Bernard,male,Male,400357,Sanders,https://www.govtrack.us/congress/members/bernard_sanders/400357,,Sen. Bernard “Bernie” Sanders [I-VT],,Bernie,N00000528,27110,"Sanders, Bernard “Bernie” (Sen.) [I-VT]",SenSanders,senatorsanders,,[103],False,Representative for Vermont At Large,0.0,1995-01-03,,,,,,3005,,Independent,400357,,representative,Representative,,,,1993-01-05,VT,Rep.,Representative,,http://thomas.loc.gov/cgi-bin/bdquery/z?d103:hr692:,H.R. 692 (103rd): Liveable Wage Act of 1993,Liveable Wage Act of 1993,"[[short, introduced, Liveable Wage Act of 1993], [official, introduced, To amend the Fair Labor Standards Act of 1938 to increase the minimum wage and to provide for an increase in such wage based on the cost of living.]]",Liveable Wage Act of 1993
2,bill,house_bill,H.R.,103,referred,1993-10-20,"This bill was introduced on October 20, 1993, in a previous session of Congress, but was not enacted.",Referred to Committee,H.R. 3323,,128085,1993-10-20,False,False,https://www.govtrack.us/congress/bills/103/hr3323,False,"[[datetime.datetime(1993, 10, 20, 0, 0), 2, Referred to the House Committee on House Administration., <action datetime=""1993-10-20"" state=""REFERRED"">
      <text>Referred to the House Committee on House Administration.</text>
    </action>
    ]]",bill,3323,,,,thomas-congproj,,S000033,1941-09-08,994,Bernard,male,Male,400357,Sanders,https://www.govtrack.us/congress/members/bernard_sanders/400357,,Sen. Bernard “Bernie” Sanders [I-VT],,Bernie,N00000528,27110,"Sanders, Bernard “Bernie” (Sen.) [I-VT]",SenSanders,senatorsanders,,[103],False,Representative for Vermont At Large,0.0,1995-01-03,,,,,,3005,,Independent,400357,,representative,Representative,,,,1993-01-05,VT,Rep.,Representative,,http://thomas.loc.gov/cgi-bin/bdquery/z?d103:hr3323:,H.R. 3323 (103rd): To provide that rates of pay for the President and Members of Congress shall be made equivalent to the rates of pay for their counterparts in the United Mexican States if legislation implementing the North American Free Trade Agreement ,To provide that rates of pay for the President and Members of Congress shall be made equivalent to the rates of pay for their counterparts in the United Mexican States if legislation implementing the North American Free Trade Agreement is enacted.,"[[official, introduced, To provide that rates of pay for the President and Members of Congress shall be made equivalent to the rates of pay for their counterparts in the United Mexican States if legislation implementing the North American Free Trade Agreement is enacted.]]",To provide that rates of pay for the President and Members of Congress shall be made equivalent to the rates of pay for their counterparts in the United Mexican States if legislation implementing the North American Free Trade Agreement 
3,resolution,house_concurrent_resolution,H.Con.Res.,103,referred,1993-01-06,"This resolution was introduced on January 6, 1993, in a previous session of Congress, but was not enacted.",Referred to Committee,H.Con.Res. 15,,132606,1993-01-06,False,False,https://www.govtrack.us/congress/bills/103/hconres15,False,"[[datetime.datetime(1993, 1, 6, 0, 0), 2, Referred to the House Committee on Foreign Affairs., <action datetime=""1993-01-06"" state=""REFERRED"">
      <text>Referred to the House Committee on Foreign Affairs.</text>
    </action>
    ]]",resolution,15,,,,thomas-congproj,,S000033,1941-09-08,994,Bernard,male,Male,400357,Sanders,https://www.govtrack.us/congress/members/bernard_sanders/400357,,Sen. Bernard “Bernie” Sanders [I-VT],,Bernie,N00000528,27110,"Sanders, Bernard “Bernie” (Sen.) [I-VT]",SenSanders,senatorsanders,,[103],False,Representative for Vermont At Large,0.0,1995-01-03,,,,,,3005,,Independent,400357,,representative,Representative,,,,1993-01-05,VT,Rep.,Representative,,http://thomas.loc.gov/cgi-bin/bdquery/z?d103:hconres15:,H.Con.Res. 15 (103rd): Expressing the sense of the Congress regarding the need for the President to seek the Senate’s advice and consent to ratification of the United Nations Convention on the Rights of the Child.,Expressing the sense of the Congress regarding the need for the President to seek the Senate’s advice and consent to ratification of the United Nations Convention on the Rights of the Child.,"[[official, introduced, Expressing the sense of the Congress regarding the need for the President to seek the Senate's advice and consent to ratification of the United Nations Convention on the Rights of the Child.]]",Expressing the sense of the Congress regarding the need for the President to seek the Senate’s advice and consent to ratification of the United Nations Convention on the Rights of the Child.
4,bill,house_bill,H.R.,103,referred,1993-10-26,"This bill was introduced on October 26, 1993, in a previous session of Congress, but was not enacted.",Referred to Committee,H.R. 3370,,131240,1993-10-26,False,False,https://www.govtrack.us/congress/bills/103/hr3370,False,"[[datetime.datetime(1993, 10, 26, 0, 0), 2, Referred to the House Committee on Agriculture., <action datetime=""1993-10-26"" state=""REFERRED"">
      <text>Referred to the House Committee on Agriculture.</text>
    </action>
    ]]",bill,3370,,,,thomas-congproj,,S000033,1941-09-08,994,Bernard,male,Male,400357,Sanders,https://www.govtrack.us/congress/members/bernard_sanders/400357,,Sen. Bernard “Bernie” Sanders [I-VT],,Bernie,N00000528,27110,"Sanders, Bernard “Bernie” (Sen.) [I-VT]",SenSanders,senatorsanders,,[103],False,Representative for Vermont At Large,0.0,1995-01-03,,,,,,3005,,Independent,400357,,representative,Representative,,,,1993-01-05,VT,Rep.,Representative,,http://thomas.loc.gov/cgi-bin/bdquery/z?d103:hr3370:,H.R. 3370 (103rd): Milk Supply Management and Nutrition Assistance Act of 1993,Milk Supply Management and Nutrition Assistance Act of 1993,"[[short, introduced, Milk Supply Management and Nutrition Assistance Act of 1993], [official, introduced, To amend the Agricultural Act of 1949 to provide for the establishment of a multiple-tier price support program for milk to achieve a closer correlation between annual milk production and consumption while assuring sufficient low-cost dairy products for nutrition assistance programs.]]",Milk Supply Management and Nutrition Assistance Act of 1993
5,bill,house_bill,H.R.,103,referred,1994-09-23,"This bill was introduced on September 23, 1994, in a previous session of Congress, but was not enacted.",Referred to Committee,H.R. 5093,,131512,1994-09-23,False,False,https://www.govtrack.us/congress/bills/103/hr5093,False,"[[datetime.datetime(1994, 9, 23, 0, 0), 2, Referred to the House Committee on Energy and Commerce., <action datetime=""1994-09-23"" state=""REFERRED"">
      <text>Referred to the House Committee on Energy and Commerce.</text>
    </action>
    ]]",bill,5093,,,,thomas-congproj,,S000033,1941-09-08,994,Bernard,male,Male,400357,Sanders,https://www.govtrack.us/congress/members/bernard_sanders/400357,,Sen. Bernard “Bernie” Sanders [I-VT],,Bernie,N00000528,27110,"Sanders, Bernard “Bernie” (Sen.) [I-VT]",SenSanders,senatorsanders,,[103],False,Representative for Vermont At Large,0.0,1995-01-03,,,,,,3005,,Independent,400357,,representative,Representative,,,,1993-01-05,VT,Rep.,Representative,,http://thomas.loc.gov/cgi-bin/bdquery/z?d103:hr5093:,"H.R. 5093 (103rd): To amend the Public Health Service Act to provide a 1-year extension of the applicability of certain provisions in the programs for block grants regarding mental health and substance abuse, and for other purposes.","To amend the Public Health Service Act to provide a 1-year extension of the applicability of certain provisions in the programs for block grants regarding mental health and substance abuse, and for other purposes.","[[official, introduced, To amend the Public Health Service Act to provide a 1-year extension of the applicability of certain provisions in the programs for block grants regarding mental health and substance abuse, and for other purposes.]]","To amend the Public Health Service Act to provide a 1-year extension of the applicability of certain provisions in the programs for block grants regarding mental health and substance abuse, and for other purposes."
6,bill,house_bill,H.R.,103,referred,1994-10-20,"This bill was introduced on October 20, 1994, in a previous session of Congress, but was not enacted.",Referred to Committee,H.R. 5278,,131854,1994-10-07,False,False,https://www.govtrack.us/congress/bills/103/hr5278,False,"[[datetime.datetime(1994, 10, 20, 0, 0), 2, Referred to the Subcommittee on Aviation., <action datetime=""1994-10-20"" state=""REFERRED"">
      <text>Referred to the Subcommittee on Aviation.</text>
    </action>
    ]]",bill,5278,,,,thomas-congproj,,S000033,1941-09-08,994,Bernard,male,Male,400357,Sanders,https://www.govtrack.us/congress/members/bernard_sanders/400357,,Sen. Bernard “Bernie” Sanders [I-VT],,Bernie,N00000528,27110,"Sanders, Bernard “Bernie” (Sen.) [I-VT]",SenSanders,senatorsanders,,[103],False,Representative for Vermont At Large,0.0,1995-01-03,,,,,,3005,,Independent,400357,,representative,Representative,,,,1993-01-05,VT,Rep.,Representative,,http://thomas.loc.gov/cgi-bin/bdquery/z?d103:hr5278:,H.R. 5278 (103rd): Jobs and Investment Act of 1994,Jobs and Investment Act of 1994,"[[short, introduced, Jobs and Investment Act of 1994], [short-partial, introduced, Community Banking and Economic Empowerment Act], [short-partial, introduced, Education Infrastructure Act of 1994], [short-partial, introduced, National Community Health Advisory Act], [official, introduced, To provide for the creation of jobs in America, and for other purposes.]]",Jobs and Investment Act of 1994
7,bill,house_bill,H.R.,103,referred,1993-04-21,"This bill was introduced on April 21, 1993, in a previous session of Congress, but was not enacted.",Referred to Committee,H.R. 1791,,130587,1993-04-21,False,False,https://www.govtrack.us/congress/bills/103/hr1791,False,"[[datetime.datetime(1993, 4, 21, 0, 0), 2, Referred to the House Committee on Veterans' Affairs., <action datetime=""1993-04-21"" state=""REFERRED"">
      <text>Referred to the House Committee on Veterans' Affairs.</text>
    </action>
    ]]",bill,1791,,,,thomas-congproj,,S000033,1941-09-08,994,Bernard,male,Male,400357,Sanders,https://www.govtrack.us/congress/members/bernard_sanders/400357,,Sen. Bernard “Bernie” Sanders [I-VT],,Bernie,N00000528,27110,"Sanders, Bernard “Bernie” (Sen.) [I-VT]",SenSanders,senatorsanders,,[103],False,Representative for Vermont At Large,0.0,1995-01-03,,,,,,3005,,Independent,400357,,representative,Representative,,,,1993-01-05,VT,Rep.,Representative,,http://thomas.loc.gov/cgi-bin/bdquery/z?d103:hr1791:,H.R. 1791 (103rd): To restore reductions in veterans benefits made by the Omnibus Budget Reconciliation Act of 1990.,To restore reductions in veterans benefits made by the Omnibus Budget Reconciliation Act of 1990.,"[[official, introduced, To restore reductions in veterans benefits made by the Omnibus Budget Reconciliation Act of 1990.]]",To restore reductions in veterans benefits made by the Omnibus Budget Reconciliation Act of 1990.
8,bill,house_bill,H.R.,103,referred,1994-09-28,"This bill was introduced on September 28, 1994, in a previous session of Congress, but was not enacted.",Referred to Committee,H.R. 5126,,128161,1994-09-28,False,False,https://www.govtrack.us/congress/bills/103/hr5126,False,"[[datetime.datetime(1994, 9, 28, 0, 0), 2, Referred to the House Committee on Education and Labor., <action datetime=""1994-09-28"" state=""REFERRED"">
      <text>Referred to the House Committee on Education and Labor.</text>
    </action>
    ]]",bill,5126,,,,thomas-congproj,,S000033,1941-09-08,994,Bernard,male,Male,400357,Sanders,https://www.govtrack.us/congress/members/bernard_sanders/400357,,Sen. Bernard “Bernie” Sanders [I-VT],,Bernie,N00000528,27110,"Sanders, Bernard “Bernie” (Sen.) [I-VT]",SenSanders,senatorsanders,,[103],False,Representative for Vermont At Large,0.0,1995-01-03,,,,,,3005,,Independent,400357,,representative,Representative,,,,1993-01-05,VT,Rep.,Representative,,http://thomas.loc.gov/cgi-bin/bdquery/z?d103:hr5126:,H.R. 5126 (103rd): Workplace Democracy Act of 1992,Workplace Democracy Act of 1992,"[[short, introduced, Workplace Democracy Act of 1992], [official, introduced, To amend the National Labor Relations Act, to establish the National Public Employment Relations Commission, and to amend title I of the Employment Retirement Income Security Act of 1974 to provide for joint trusteeship of single-employer pension plans.]]",Workplace Democracy Act of 1992
9,bill,senate_bill,S.,110,referred,2008-11-19,"This bill was introduced on November 19, 2008, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 3692,,136288,2008-11-19,False,False,https://www.govtrack.us/congress/bills/110/s3692,False,"[[datetime.datetime(2008, 11, 19, 0, 0), 2, Read twice and referred to the Committee on Finance., <action datetime=""2008-11-19"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Finance.</text>
    </action>
  ]]",bill,3692,,,,thomas-congproj,,S000033,1941-09-08,994,Bernard,male,Male,400357,Sanders,https://www.govtrack.us/congress/members/bernard_sanders/400357,,Sen. Bernard “Bernie” Sanders [I-VT],,Bernie,N00000528,27110,"Sanders, Bernard “Bernie” (Sen.) [I-VT]",SenSanders,senatorsanders,,"[110, 111, 112]",False,Senator from Vermont,,2013-01-03,,332 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,http://www.sanders.senate.gov/contact/,202-228-0776,332 Dirksen Senate Office Building,3012,,Independent,400357,202-224-5141,senator,Senator,class1,Class 1,,2007-01-04,VT,Sen.,Senator,http://sanders.senate.gov/,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s3692:,S. 3692 (110th): A bill to rescind Treasury Notice 2008-83.,A bill to rescind Treasury Notice 2008-83.,"[[official, introduced, A bill to rescind Treasury Notice 2008-83.]]",A bill to rescind Treasury Notice 2008-83.
