,bill_resolution_type,bill_type,bill_type_label,congress,current_status,current_status_date,current_status_description,current_status_label,display_number,docs_house_gov_postdate,id,introduced_date,is_alive,is_current,link,lock_title,major_actions,noun,number,senate_floor_schedule_postdate,sliplawnum,sliplawpubpriv,source,source_link,sponsor.bioguideid,sponsor.birthday,sponsor.cspanid,sponsor.firstname,sponsor.gender,sponsor.gender_label,sponsor.id,sponsor.lastname,sponsor.link,sponsor.middlename,sponsor.name,sponsor.namemod,sponsor.nickname,sponsor.osid,sponsor.pvsid,sponsor.sortname,sponsor.twitterid,sponsor.youtubeid,sponsor_role.caucus,sponsor_role.congress_numbers,sponsor_role.current,sponsor_role.description,sponsor_role.district,sponsor_role.enddate,sponsor_role.extra.address,sponsor_role.extra.contact_form,sponsor_role.extra.fax,sponsor_role.extra.office,sponsor_role.id,sponsor_role.leadership_title,sponsor_role.party,sponsor_role.person,sponsor_role.phone,sponsor_role.role_type,sponsor_role.role_type_label,sponsor_role.senator_class,sponsor_role.senator_class_label,sponsor_role.senator_rank,sponsor_role.senator_rank_label,sponsor_role.startdate,sponsor_role.state,sponsor_role.title,sponsor_role.title_long,sponsor_role.website,thomas_link,title,title_without_number,titles,clean_title
0,bill,senate_bill,S.,113,reported,2013-01-30,"This bill was introduced on January 30, 2013, in a previous session of Congress, but was not enacted.",Reported by Committee,S. 177,,270641,2013-01-29,False,False,https://www.govtrack.us/congress/bills/113/s177,False,"[[datetime.datetime(2013, 1, 30, 0, 0), 3, Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 9., <calendar datetime=""2013-01-30"" state=""REPORTED"" calendar=""Senate Legislative"" under=""General Orders"" number=""9"">
      <text>Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 9.</text>
    </calendar>
  ]]",bill,177,,,,thomas-congproj,,C001098,1970-12-22,1019953,Ted,male,Male,412573,Cruz,https://www.govtrack.us/congress/members/ted_cruz/412573,,Sen. Ted Cruz [R-TX],,,N00033085,135705,"Cruz, Ted (Sen.) [R-TX]",SenTedCruz,sentedcruz,,"[113, 114, 115]",True,Junior Senator from Texas,,2019-01-03,404 Russell Senate Office Building Washington DC 20510,http://www.cruz.senate.gov/?p=email_senator,202-228-3398,404 Russell Senate Office Building,43140,,Republican,412573,202-224-5922,senator,Senator,class1,Class 1,junior,Junior,2013-01-03,TX,Sen.,Senator,http://www.cruz.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d113:s177:,S. 177 (113th): ObamaCare Repeal Act,ObamaCare Repeal Act,"[[short, introduced, ObamaCare Repeal Act], [official, introduced, A bill to repeal the Patient Protection and Affordable Care Act and the Health Care and Education Reconciliation Act of 2010 entirely.]]",ObamaCare Repeal Act
1,bill,senate_bill,S.,113,reported,2013-07-16,"This bill was introduced on July 16, 2013, in a previous session of Congress, but was not enacted.",Reported by Committee,S. 1292,,293947,2013-07-11,False,False,https://www.govtrack.us/congress/bills/113/s1292,False,"[[datetime.datetime(2013, 7, 16, 0, 0), 3, Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 135., <calendar datetime=""2013-07-16"" state=""REPORTED"" calendar=""Senate Legislative"" under=""General Orders"" number=""135"">
      <text>Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 135.</text>
    </calendar>
  ]]",bill,1292,,,,thomas-congproj,,C001098,1970-12-22,1019953,Ted,male,Male,412573,Cruz,https://www.govtrack.us/congress/members/ted_cruz/412573,,Sen. Ted Cruz [R-TX],,,N00033085,135705,"Cruz, Ted (Sen.) [R-TX]",SenTedCruz,sentedcruz,,"[113, 114, 115]",True,Junior Senator from Texas,,2019-01-03,404 Russell Senate Office Building Washington DC 20510,http://www.cruz.senate.gov/?p=email_senator,202-228-3398,404 Russell Senate Office Building,43140,,Republican,412573,202-224-5922,senator,Senator,class1,Class 1,junior,Junior,2013-01-03,TX,Sen.,Senator,http://www.cruz.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d113:s1292:,S. 1292 (113th): Defund Obamacare Act of 2013,Defund Obamacare Act of 2013,"[[short, introduced, Defund Obamacare Act of 2013], [official, introduced, A bill to prohibit the funding of the Patient Protection and Affordable Care Act.]]",Defund Obamacare Act of 2013
2,bill,senate_bill,S.,113,reported,2013-07-18,"This bill was introduced on July 18, 2013, in a previous session of Congress, but was not enacted.",Reported by Committee,S. 1336,,294068,2013-07-18,False,False,https://www.govtrack.us/congress/bills/113/s1336,False,"[[datetime.datetime(2013, 7, 18, 0, 0), 3, Introduced in the Senate. Read twice. Ordered Placed on Senate Legislative Calendar under General Orders. Calendar No. 144., <calendar datetime=""2013-07-18"" state=""REPORTED"" calendar=""Senate Legislative"" under=""General Orders"" number=""144"">
      <text>Introduced in the Senate. Read twice. Ordered Placed on Senate Legislative Calendar under General Orders. Calendar No. 144.</text>
    </calendar>
  ]]",bill,1336,,,,thomas-congproj,,C001098,1970-12-22,1019953,Ted,male,Male,412573,Cruz,https://www.govtrack.us/congress/members/ted_cruz/412573,,Sen. Ted Cruz [R-TX],,,N00033085,135705,"Cruz, Ted (Sen.) [R-TX]",SenTedCruz,sentedcruz,,"[113, 114, 115]",True,Junior Senator from Texas,,2019-01-03,404 Russell Senate Office Building Washington DC 20510,http://www.cruz.senate.gov/?p=email_senator,202-228-3398,404 Russell Senate Office Building,43140,,Republican,412573,202-224-5922,senator,Senator,class1,Class 1,junior,Junior,2013-01-03,TX,Sen.,Senator,http://www.cruz.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d113:s1336:,S. 1336 (113th): A bill to amend the National Voter Registration Act of 1993 to permit States to require proof of citizenship for registration to vote in elections for Federal office.,A bill to amend the National Voter Registration Act of 1993 to permit States to require proof of citizenship for registration to vote in elections for Federal office.,"[[official, introduced, A bill to amend the National Voter Registration Act of 1993 to permit States to require proof of citizenship for registration to vote in elections for Federal office.]]",A bill to amend the National Voter Registration Act of 1993 to permit States to require proof of citizenship for registration to vote in elections for Federal office.
3,bill,senate_bill,S.,113,reported,2013-03-11,"This bill was introduced on March 11, 2013, in a previous session of Congress, but was not enacted.",Reported by Committee,S. 505,,285789,2013-03-07,False,False,https://www.govtrack.us/congress/bills/113/s505,False,"[[datetime.datetime(2013, 3, 11, 0, 0), 3, Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 22., <calendar datetime=""2013-03-11"" state=""REPORTED"" calendar=""Senate Legislative"" under=""General Orders"" number=""22"">
      <text>Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 22.</text>
    </calendar>
  ]]",bill,505,,,,thomas-congproj,,C001098,1970-12-22,1019953,Ted,male,Male,412573,Cruz,https://www.govtrack.us/congress/members/ted_cruz/412573,,Sen. Ted Cruz [R-TX],,,N00033085,135705,"Cruz, Ted (Sen.) [R-TX]",SenTedCruz,sentedcruz,,"[113, 114, 115]",True,Junior Senator from Texas,,2019-01-03,404 Russell Senate Office Building Washington DC 20510,http://www.cruz.senate.gov/?p=email_senator,202-228-3398,404 Russell Senate Office Building,43140,,Republican,412573,202-224-5922,senator,Senator,class1,Class 1,junior,Junior,2013-01-03,TX,Sen.,Senator,http://www.cruz.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d113:s505:,S. 505 (113th): A bill to prohibit the use of drones to kill citizens of the United States within the United States.,A bill to prohibit the use of drones to kill citizens of the United States within the United States.,"[[official, introduced, A bill to prohibit the use of drones to kill citizens of the United States within the United States.]]",A bill to prohibit the use of drones to kill citizens of the United States within the United States.
4,bill,senate_bill,S.,113,reported,2013-04-16,"This bill was introduced on April 16, 2013, in a previous session of Congress, but was not enacted.",Reported by Committee,S. 730,,291994,2013-04-15,False,False,https://www.govtrack.us/congress/bills/113/s730,False,"[[datetime.datetime(2013, 4, 16, 0, 0), 3, Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 40., <calendar datetime=""2013-04-16"" state=""REPORTED"" calendar=""Senate Legislative"" under=""General Orders"" number=""40"">
      <text>Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 40.</text>
    </calendar>
  ]]",bill,730,,,,thomas-congproj,,C001098,1970-12-22,1019953,Ted,male,Male,412573,Cruz,https://www.govtrack.us/congress/members/ted_cruz/412573,,Sen. Ted Cruz [R-TX],,,N00033085,135705,"Cruz, Ted (Sen.) [R-TX]",SenTedCruz,sentedcruz,,"[113, 114, 115]",True,Junior Senator from Texas,,2019-01-03,404 Russell Senate Office Building Washington DC 20510,http://www.cruz.senate.gov/?p=email_senator,202-228-3398,404 Russell Senate Office Building,43140,,Republican,412573,202-224-5922,senator,Senator,class1,Class 1,junior,Junior,2013-01-03,TX,Sen.,Senator,http://www.cruz.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d113:s730:,S. 730 (113th): Firearm Straw Purchasing and Trafficking Prevention Act,Firearm Straw Purchasing and Trafficking Prevention Act,"[[short, introduced, Firearm Straw Purchasing and Trafficking Prevention Act], [official, introduced, A bill to prevent criminals from obtaining firearms through straw purchasing and trafficking.]]",Firearm Straw Purchasing and Trafficking Prevention Act
5,bill,senate_bill,S.,113,reported,2013-04-16,"This bill was introduced on April 16, 2013, in a previous session of Congress, but was not enacted.",Reported by Committee,S. 729,,292010,2013-04-15,False,False,https://www.govtrack.us/congress/bills/113/s729,False,"[[datetime.datetime(2013, 4, 16, 0, 0), 3, Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 39., <calendar datetime=""2013-04-16"" state=""REPORTED"" calendar=""Senate Legislative"" under=""General Orders"" number=""39"">
      <text>Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 39.</text>
    </calendar>
  ]]",bill,729,,,,thomas-congproj,,C001098,1970-12-22,1019953,Ted,male,Male,412573,Cruz,https://www.govtrack.us/congress/members/ted_cruz/412573,,Sen. Ted Cruz [R-TX],,,N00033085,135705,"Cruz, Ted (Sen.) [R-TX]",SenTedCruz,sentedcruz,,"[113, 114, 115]",True,Junior Senator from Texas,,2019-01-03,404 Russell Senate Office Building Washington DC 20510,http://www.cruz.senate.gov/?p=email_senator,202-228-3398,404 Russell Senate Office Building,43140,,Republican,412573,202-224-5922,senator,Senator,class1,Class 1,junior,Junior,2013-01-03,TX,Sen.,Senator,http://www.cruz.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d113:s729:,S. 729 (113th): Disarm Criminals and Protect Communities Act,Disarm Criminals and Protect Communities Act,"[[short, introduced, Disarm Criminals and Protect Communities Act], [official, introduced, A bill to protect law abiding citizens by preventing criminals from obtaining firearms.]]",Disarm Criminals and Protect Communities Act
6,bill,senate_bill,S.,113,reported,2013-11-12,"This bill was introduced on November 12, 2013, in a previous session of Congress, but was not enacted.",Reported by Committee,S. 1661,,330682,2013-11-07,False,False,https://www.govtrack.us/congress/bills/113/s1661,False,"[[datetime.datetime(2013, 11, 12, 0, 0), 3, Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 242., <calendar datetime=""2013-11-12"" state=""REPORTED"" calendar=""Senate Legislative"" under=""General Orders"" number=""242"">
      <text>Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 242.</text>
    </calendar>
  ]]",bill,1661,,,,thomas-congproj,,C001098,1970-12-22,1019953,Ted,male,Male,412573,Cruz,https://www.govtrack.us/congress/members/ted_cruz/412573,,Sen. Ted Cruz [R-TX],,,N00033085,135705,"Cruz, Ted (Sen.) [R-TX]",SenTedCruz,sentedcruz,,"[113, 114, 115]",True,Junior Senator from Texas,,2019-01-03,404 Russell Senate Office Building Washington DC 20510,http://www.cruz.senate.gov/?p=email_senator,202-228-3398,404 Russell Senate Office Building,43140,,Republican,412573,202-224-5922,senator,Senator,class1,Class 1,junior,Junior,2013-01-03,TX,Sen.,Senator,http://www.cruz.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d113:s1661:,"S. 1661 (113th): A bill to require the Secretary of State to offer rewards of up to $5,000,000 for information regarding the attacks on the United States diplomatic mission at Benghazi, Libya that began on September 11, 2012.","A bill to require the Secretary of State to offer rewards of up to $5,000,000 for information regarding the attacks on the United States diplomatic mission at Benghazi, Libya that began on September 11, 2012.","[[official, introduced, A bill to require the Secretary of State to offer rewards of up to $5,000,000 for information regarding the attacks on the United States diplomatic mission at Benghazi, Libya that began on September 11, 2012.]]","A bill to require the Secretary of State to offer rewards of up to $5,000,000 for information regarding the attacks on the United States diplomatic mission at Benghazi, Libya that began on September 11, 2012."
7,resolution,senate_resolution,S.Res.,113,referred,2014-01-06,"This resolution was introduced on January 6, 2014, in a previous session of Congress, but was not enacted.",Referred to Committee,S.Res. 328,,331375,2014-01-06,False,False,https://www.govtrack.us/congress/bills/113/sres328,False,"[[datetime.datetime(2014, 1, 6, 0, 0), 2, Referred to the Committee on Foreign Relations., <action datetime=""2014-01-06"" state=""REFERRED"">
      <text>Referred to the Committee on Foreign Relations.</text>
      <reference ref=""CR S30"" label=""text of measure as introduced""/>
    </action>
  ]]",resolution,328,,,,thomas-congproj,,C001098,1970-12-22,1019953,Ted,male,Male,412573,Cruz,https://www.govtrack.us/congress/members/ted_cruz/412573,,Sen. Ted Cruz [R-TX],,,N00033085,135705,"Cruz, Ted (Sen.) [R-TX]",SenTedCruz,sentedcruz,,"[113, 114, 115]",True,Junior Senator from Texas,,2019-01-03,404 Russell Senate Office Building Washington DC 20510,http://www.cruz.senate.gov/?p=email_senator,202-228-3398,404 Russell Senate Office Building,43140,,Republican,412573,202-224-5922,senator,Senator,class1,Class 1,junior,Junior,2013-01-03,TX,Sen.,Senator,http://www.cruz.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d113:sres328:,S.Res. 328 (113th): A resolution expressing the sense of the Senate on steps the Government of Iran must take before further bilateral negotiations between the Government of Iran and the United States Government occur.,A resolution expressing the sense of the Senate on steps the Government of Iran must take before further bilateral negotiations between the Government of Iran and the United States Government occur.,"[[official, introduced, A resolution expressing the sense of the Senate on steps the Government of Iran must take before further bilateral negotiations between the Government of Iran and the United States Government occur.]]",A resolution expressing the sense of the Senate on steps the Government of Iran must take before further bilateral negotiations between the Government of Iran and the United States Government occur.
8,bill,senate_bill,S.,113,referred,2014-06-03,"This bill was introduced on June 3, 2014, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 2415,,333246,2014-06-03,False,False,https://www.govtrack.us/congress/bills/113/s2415,False,"[[datetime.datetime(2014, 6, 3, 0, 0), 2, Read twice and referred to the Committee on Rules and Administration., <action datetime=""2014-06-03"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Rules and Administration.</text>
    </action>
  ]]",bill,2415,,,,thomas-congproj,,C001098,1970-12-22,1019953,Ted,male,Male,412573,Cruz,https://www.govtrack.us/congress/members/ted_cruz/412573,,Sen. Ted Cruz [R-TX],,,N00033085,135705,"Cruz, Ted (Sen.) [R-TX]",SenTedCruz,sentedcruz,,"[113, 114, 115]",True,Junior Senator from Texas,,2019-01-03,404 Russell Senate Office Building Washington DC 20510,http://www.cruz.senate.gov/?p=email_senator,202-228-3398,404 Russell Senate Office Building,43140,,Republican,412573,202-224-5922,senator,Senator,class1,Class 1,junior,Junior,2013-01-03,TX,Sen.,Senator,http://www.cruz.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d113:s2415:,S. 2415 (113th): SuperPAC Elimination Act of 2014,SuperPAC Elimination Act of 2014,"[[short, introduced, SuperPAC Elimination Act of 2014], [official, introduced, A bill to amend the Federal Election Campaign Act of 1971 to eliminate limitations on direct contributions to candidates, to require disclosure of certain contributions within 24 hours of receipt, and for other purposes.]]",SuperPAC Elimination Act of 2014
9,bill,senate_bill,S.,113,referred,2014-06-03,"This bill was introduced on June 3, 2014, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 2416,,333256,2014-06-03,False,False,https://www.govtrack.us/congress/bills/113/s2416,False,"[[datetime.datetime(2014, 6, 3, 0, 0), 2, Read twice and referred to the Committee on Commerce, Science, and Transportation., <action datetime=""2014-06-03"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Commerce, Science, and Transportation.</text>
    </action>
  ]]",bill,2416,,,,thomas-congproj,,C001098,1970-12-22,1019953,Ted,male,Male,412573,Cruz,https://www.govtrack.us/congress/members/ted_cruz/412573,,Sen. Ted Cruz [R-TX],,,N00033085,135705,"Cruz, Ted (Sen.) [R-TX]",SenTedCruz,sentedcruz,,"[113, 114, 115]",True,Junior Senator from Texas,,2019-01-03,404 Russell Senate Office Building Washington DC 20510,http://www.cruz.senate.gov/?p=email_senator,202-228-3398,404 Russell Senate Office Building,43140,,Republican,412573,202-224-5922,senator,Senator,class1,Class 1,junior,Junior,2013-01-03,TX,Sen.,Senator,http://www.cruz.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d113:s2416:,S. 2416 (113th): Free All Speech Act of 2014,Free All Speech Act of 2014,"[[short, introduced, Free All Speech Act of 2014], [official, introduced, A bill to apply laws that restrict the political speech of American citizens to media corporations.]]",Free All Speech Act of 2014
