,bill_resolution_type,bill_type,bill_type_label,congress,current_status,current_status_date,current_status_description,current_status_label,display_number,docs_house_gov_postdate,id,introduced_date,is_alive,is_current,link,lock_title,major_actions,noun,number,senate_floor_schedule_postdate,sliplawnum,sliplawpubpriv,source,source_link,sponsor.bioguideid,sponsor.birthday,sponsor.cspanid,sponsor.firstname,sponsor.gender,sponsor.gender_label,sponsor.id,sponsor.lastname,sponsor.link,sponsor.middlename,sponsor.name,sponsor.namemod,sponsor.nickname,sponsor.osid,sponsor.pvsid,sponsor.sortname,sponsor.twitterid,sponsor.youtubeid,sponsor_role.caucus,sponsor_role.congress_numbers,sponsor_role.current,sponsor_role.description,sponsor_role.district,sponsor_role.enddate,sponsor_role.extra,sponsor_role.id,sponsor_role.leadership_title,sponsor_role.party,sponsor_role.person,sponsor_role.phone,sponsor_role.role_type,sponsor_role.role_type_label,sponsor_role.senator_class,sponsor_role.senator_class_label,sponsor_role.senator_rank,sponsor_role.startdate,sponsor_role.state,sponsor_role.title,sponsor_role.title_long,sponsor_role.website,thomas_link,title,title_without_number,titles,clean_title
0,resolution,senate_resolution,S.Res.,110,referred,2008-06-27,"This resolution was introduced on June 27, 2008, in a previous session of Congress, but was not enacted.",Referred to Committee,S.Res. 606,,136151,2008-06-27,False,False,https://www.govtrack.us/congress/bills/110/sres606,False,"[[datetime.datetime(2008, 6, 27, 0, 0), 2, Referred to the Committee on the Judiciary., <action datetime=""2008-06-27"" state=""REFERRED"">
      <text>Referred to the Committee on the Judiciary.</text>
      <reference ref=""CR S6330-6331"" label=""text of measure as introduced""/>
    </action>
  ]]",resolution,606,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:sres606:,"S.Res. 606 (110th): A resolution designating June 27, 2008, as National HIV Testing Day.","A resolution designating June 27, 2008, as National HIV Testing Day.","[[official, introduced, A resolution designating June 27, 2008, as National HIV Testing Day.]]","A resolution designating June 27, 2008, as National HIV Testing Day."
1,bill,senate_bill,S.,110,referred,2008-05-02,"This bill was introduced on May 2, 2008, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 2971,,136231,2008-05-02,False,False,https://www.govtrack.us/congress/bills/110/s2971,False,"[[datetime.datetime(2008, 5, 2, 0, 0), 2, Read twice and referred to the Committee on Finance., <action datetime=""2008-05-02"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Finance.</text>
    </action>
  ]]",bill,2971,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s2971:,"S. 2971 (110th): A bill to amend the Internal Revenue Code of 1986 to provide for a suspension of the highway fuel tax, and for other purposes.","A bill to amend the Internal Revenue Code of 1986 to provide for a suspension of the highway fuel tax, and for other purposes.","[[official, introduced, A bill to amend the Internal Revenue Code of 1986 to provide for a suspension of the highway fuel tax, and for other purposes.]]","A bill to amend the Internal Revenue Code of 1986 to provide for a suspension of the highway fuel tax, and for other purposes."
2,bill,senate_bill,S.,110,referred,2007-01-26,"This bill was introduced on January 26, 2007, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 413,,136340,2007-01-26,False,False,https://www.govtrack.us/congress/bills/110/s413,False,"[[datetime.datetime(2007, 1, 26, 0, 0), 2, Read twice and referred to the Committee on Banking, Housing, and Urban Affairs., <action datetime=""2007-01-26"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.</text>
    </action>
  ]]",bill,413,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s413:,S. 413 (110th): Community Choice in Real Estate Act,Community Choice in Real Estate Act,"[[short, introduced, Community Choice in Real Estate Act], [official, introduced, A bill to amend the Bank Holding Company Act of 1956 and the Revised Statutes of the United States to prohibit financial holding companies and national banks from engaging, directly or indirectly, in real estate brokerage or real estate management activities, and for other purposes.]]",Community Choice in Real Estate Act
3,bill,senate_bill,S.,110,referred,2007-05-22,"This bill was introduced on May 22, 2007, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 1452,,136571,2007-05-22,False,False,https://www.govtrack.us/congress/bills/110/s1452,False,"[[datetime.datetime(2007, 5, 22, 0, 0), 2, Read twice and referred to the Committee on Health, Education, Labor, and Pensions., <action datetime=""2007-05-22"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Health, Education, Labor, and Pensions.</text>
      <reference ref=""CR S6480-6483"" label=""text of measure as introduced""/>
    </action>
  ]]",bill,1452,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s1452:,S. 1452 (110th): Public Mental Health Emergency Preparedness Act of 2007,Public Mental Health Emergency Preparedness Act of 2007,"[[short, introduced, Public Mental Health Emergency Preparedness Act of 2007], [official, introduced, A bill to amend the Public Health Service Act to establish a national center for public mental health emergency preparedness, and for other purposes.]]",Public Mental Health Emergency Preparedness Act of 2007
4,bill,senate_bill,S.,110,referred,2007-12-06,"This bill was introduced on December 6, 2007, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 2426,,136579,2007-12-06,False,False,https://www.govtrack.us/congress/bills/110/s2426,False,"[[datetime.datetime(2007, 12, 6, 0, 0), 2, Read twice and referred to the Committee on Foreign Relations., <action datetime=""2007-12-06"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Foreign Relations.</text>
    </action>
  ]]",bill,2426,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s2426:,S. 2426 (110th): Congressional Oversight of Iraq Agreements Act of 2007,Congressional Oversight of Iraq Agreements Act of 2007,"[[short, introduced, Congressional Oversight of Iraq Agreements Act of 2007], [official, introduced, A bill to provide for congressional oversight of United States agreements with the Government of Iraq.]]",Congressional Oversight of Iraq Agreements Act of 2007
5,bill,senate_bill,S.,110,reported,2008-09-11,"This bill was introduced on September 11, 2008, in a previous session of Congress, but was not enacted.",Reported by Committee,S. 1816,,136740,2007-07-19,False,False,https://www.govtrack.us/congress/bills/110/s1816,False,"[[datetime.datetime(2007, 7, 19, 0, 0), 2, Read twice and referred to the Committee on Energy and Natural Resources., <action datetime=""2007-07-19"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Energy and Natural Resources.</text>
    </action>
    ], [datetime.datetime(2008, 9, 11, 0, 0), 3, Committee on Energy and Natural Resources. Ordered to be reported with an amendment in the nature of a substitute favorably., <calendar datetime=""2008-09-11"" state=""REPORTED"">
      <text>Committee on Energy and Natural Resources. Ordered to be reported with an amendment in the nature of a substitute favorably.</text>
    </calendar>
    ]]",bill,1816,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s1816:,S. 1816 (110th): National Women’s Rights History Project Act,National Women’s Rights History Project Act,"[[short, introduced, National Women's Rights History Project Act], [short, reported to senate, National Women's Rights History Project Act], [official, introduced, A bill to authorize the Secretary of the Interior to establish a commemorative trail in connection with the Women's Rights National Historical Park to link properties that are historically and thematically associated with the struggle for women's suffrage, and for other purposes.]]",National Women’s Rights History Project Act
6,resolution,senate_concurrent_resolution,S.Con.Res.,110,referred,2008-09-15,"This resolution was introduced on September 15, 2008, in a previous session of Congress, but was not enacted.",Referred to Committee,S.Con.Res. 98,,136759,2008-09-15,False,False,https://www.govtrack.us/congress/bills/110/sconres98,False,"[[datetime.datetime(2008, 9, 15, 0, 0), 2, Referred to the Committee on Health, Education, Labor, and Pensions., <action datetime=""2008-09-15"" state=""REFERRED"">
      <text>Referred to the Committee on Health, Education, Labor, and Pensions.</text>
      <reference ref=""CR S8533-8534"" label=""text of measure as introduced""/>
    </action>
  ]]",resolution,98,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:sconres98:,S.Con.Res. 98 (110th): A concurrent resolution expressing the sense of Congress on the need for a national AIDS strategy.,A concurrent resolution expressing the sense of Congress on the need for a national AIDS strategy.,"[[official, introduced, A concurrent resolution expressing the sense of Congress on the need for a national AIDS strategy.]]",A concurrent resolution expressing the sense of Congress on the need for a national AIDS strategy.
7,bill,senate_bill,S.,110,referred,2008-11-19,"This bill was introduced on November 19, 2008, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 3707,,136940,2008-11-19,False,False,https://www.govtrack.us/congress/bills/110/s3707,False,"[[datetime.datetime(2008, 11, 19, 0, 0), 2, Read twice and referred to the Committee on Health, Education, Labor, and Pensions., <action datetime=""2008-11-19"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Health, Education, Labor, and Pensions.</text>
    </action>
  ]]",bill,3707,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s3707:,S. 3707 (110th): National Principal Recruitment Act,National Principal Recruitment Act,"[[short, introduced, National Principal Recruitment Act], [official, introduced, A bill to recruit, train, and support principals for high-need schools who are effective in improving student academic achievement.]]",National Principal Recruitment Act
8,bill,senate_bill,S.,110,referred,2008-04-28,"This bill was introduced on April 28, 2008, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 2921,,137027,2008-04-28,False,False,https://www.govtrack.us/congress/bills/110/s2921,False,"[[datetime.datetime(2008, 4, 28, 0, 0), 2, Read twice and referred to the Committee on Veterans' Affairs., <action datetime=""2008-04-28"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Veterans' Affairs.</text>
    </action>
  ]]",bill,2921,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s2921:,S. 2921 (110th): Caring for Wounded Warriors Act of 2008,Caring for Wounded Warriors Act of 2008,"[[short, introduced, Caring for Wounded Warriors Act of 2008], [official, introduced, A bill to require pilot programs on training and certification for family caregiver personal care attendants for veterans and members of the Armed Forces with traumatic brain injury, to require a pilot program on provision of respite care to such veterans and members, and for other purposes.]]",Caring for Wounded Warriors Act of 2008
9,bill,senate_bill,S.,110,referred,2008-01-30,"This bill was introduced on January 30, 2008, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 2574,,137039,2008-01-30,False,False,https://www.govtrack.us/congress/bills/110/s2574,False,"[[datetime.datetime(2008, 1, 30, 0, 0), 2, Read twice and referred to the Committee on Finance., <action datetime=""2008-01-30"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Finance.</text>
    </action>
  ]]",bill,2574,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s2574:,S. 2574 (110th): Mortgage Refinancing Initiative Act of 2008,Mortgage Refinancing Initiative Act of 2008,"[[short, introduced, Mortgage Refinancing Initiative Act of 2008], [official, introduced, A bill to amend the Internal Revenue Code of 1986 to allow the use of qualified mortgage revenue bonds for refinancing mortgages and to provide a temporary increase in the volume cap for such bonds.]]",Mortgage Refinancing Initiative Act of 2008
