,bill_resolution_type,bill_type,bill_type_label,congress,current_status,current_status_date,current_status_description,current_status_label,display_number,docs_house_gov_postdate,id,introduced_date,is_alive,is_current,link,lock_title,major_actions,noun,number,senate_floor_schedule_postdate,sliplawnum,sliplawpubpriv,source,source_link,sponsor.bioguideid,sponsor.birthday,sponsor.cspanid,sponsor.firstname,sponsor.gender,sponsor.gender_label,sponsor.id,sponsor.lastname,sponsor.link,sponsor.middlename,sponsor.name,sponsor.namemod,sponsor.nickname,sponsor.osid,sponsor.pvsid,sponsor.sortname,sponsor.twitterid,sponsor.youtubeid,sponsor_role.caucus,sponsor_role.congress_numbers,sponsor_role.current,sponsor_role.description,sponsor_role.district,sponsor_role.enddate,sponsor_role.extra,sponsor_role.id,sponsor_role.leadership_title,sponsor_role.party,sponsor_role.person,sponsor_role.phone,sponsor_role.role_type,sponsor_role.role_type_label,sponsor_role.senator_class,sponsor_role.senator_rank,sponsor_role.startdate,sponsor_role.state,sponsor_role.title,sponsor_role.title_long,sponsor_role.website,thomas_link,title,title_without_number,titles,clean_title
0,bill,house_bill,H.R.,103,referred,1993-08-06,"This bill was introduced on August 6, 1993, in a previous session of Congress, but was not enacted.",Referred to Committee,H.R. 2953,,131402,1993-08-06,False,False,https://www.govtrack.us/congress/bills/103/hr2953,False,"[[datetime.datetime(1993, 8, 6, 0, 0), 2, Referred to the House Committee on Government Operations., <action datetime=""1993-08-06"" state=""REFERRED"">
      <text>Referred to the House Committee on Government Operations.</text>
    </action>
    ]]",bill,2953,,,,thomas-congproj,,K000016,1952-05-13,1620,John,male,Male,400590,Kasich,https://www.govtrack.us/congress/members/john_kasich/400590,R.,"Rep. John Kasich [R-OH12, 1983-2000]",,,N00009778,,"Kasich, John (Rep.) [R-OH12, 1983-2000]",,,,[103],False,Representative for Ohio's 12th congressional district,12,1995-01-03,,4917,,Republican,400590,,representative,Representative,,,1993-01-05,OH,Rep.,Representative,,http://thomas.loc.gov/cgi-bin/bdquery/z?d103:hr2953:,H.R. 2953 (103rd): Spending Reduction Act of 1993,Spending Reduction Act of 1993,"[[short, introduced, Spending Reduction Act of 1993], [official, introduced, To provide a fair, nonpolitical process that will achieve $65,000,000,000 in budget outlay reductions each fiscal year until a balanced budget is reached.]]",Spending Reduction Act of 1993
1,bill,house_bill,H.R.,103,referred,1993-02-02,"This bill was introduced on February 2, 1993, in a previous session of Congress, but was not enacted.",Referred to Committee,H.R. 721,,129403,1993-02-02,False,False,https://www.govtrack.us/congress/bills/103/hr721,False,"[[datetime.datetime(1993, 2, 2, 0, 0), 2, Referred to the House Committee on Energy and Commerce., <action datetime=""1993-02-02"" state=""REFERRED"">
      <text>Referred to the House Committee on Energy and Commerce.</text>
    </action>
    ]]",bill,721,,,,thomas-congproj,,K000016,1952-05-13,1620,John,male,Male,400590,Kasich,https://www.govtrack.us/congress/members/john_kasich/400590,R.,"Rep. John Kasich [R-OH12, 1983-2000]",,,N00009778,,"Kasich, John (Rep.) [R-OH12, 1983-2000]",,,,[103],False,Representative for Ohio's 12th congressional district,12,1995-01-03,,4917,,Republican,400590,,representative,Representative,,,1993-01-05,OH,Rep.,Representative,,http://thomas.loc.gov/cgi-bin/bdquery/z?d103:hr721:,H.R. 721 (103rd): Physician Self-Referral Amendments of 1993,Physician Self-Referral Amendments of 1993,"[[popular, None, Physician Referrals bill], [short, introduced, Physician Self-Referral Amendments of 1993], [official, introduced, To amend the Social Security Act to extend the ban on physician self-referrals to all payors and to radiology and diagnostic imaging services, radiation therapy services, physical therapy services, and durable medical equipment.]]",Physician Self-Referral Amendments of 1993
2,bill,house_bill,H.R.,103,referred,1993-09-23,"This bill was introduced on September 23, 1993, in a previous session of Congress, but was not enacted.",Referred to Committee,H.R. 3127,,128363,1993-09-23,False,False,https://www.govtrack.us/congress/bills/103/hr3127,False,"[[datetime.datetime(1993, 9, 23, 0, 0), 2, Referred to the House Committee on Energy and Commerce., <action datetime=""1993-09-23"" state=""REFERRED"">
      <text>Referred to the House Committee on Energy and Commerce.</text>
    </action>
    ]]",bill,3127,,,,thomas-congproj,,K000016,1952-05-13,1620,John,male,Male,400590,Kasich,https://www.govtrack.us/congress/members/john_kasich/400590,R.,"Rep. John Kasich [R-OH12, 1983-2000]",,,N00009778,,"Kasich, John (Rep.) [R-OH12, 1983-2000]",,,,[103],False,Representative for Ohio's 12th congressional district,12,1995-01-03,,4917,,Republican,400590,,representative,Representative,,,1993-01-05,OH,Rep.,Representative,,http://thomas.loc.gov/cgi-bin/bdquery/z?d103:hr3127:,H.R. 3127 (103rd): Interstate Commerce Efficiency and Safety Improvement Act of 1993,Interstate Commerce Efficiency and Safety Improvement Act of 1993,"[[short, introduced, Interstate Commerce Efficiency and Safety Improvement Act of 1993], [official, introduced, To transfer to the Secretary of Transportation the functions of the Interstate Commerce Commission.]]",Interstate Commerce Efficiency and Safety Improvement Act of 1993
3,resolution,house_resolution,H.Res.,103,referred,1993-10-15,"This resolution was introduced on October 15, 1993, in a previous session of Congress, but was not enacted.",Referred to Committee,H.Res. 278,,133285,1993-10-15,False,False,https://www.govtrack.us/congress/bills/103/hres278,False,"[[datetime.datetime(1993, 10, 15, 0, 0), 2, Referred to the House Committee on Rules., <action datetime=""1993-10-15"" state=""REFERRED"">
      <text>Referred to the House Committee on Rules.</text>
    </action>
  ]]",resolution,278,,,,thomas-congproj,,K000016,1952-05-13,1620,John,male,Male,400590,Kasich,https://www.govtrack.us/congress/members/john_kasich/400590,R.,"Rep. John Kasich [R-OH12, 1983-2000]",,,N00009778,,"Kasich, John (Rep.) [R-OH12, 1983-2000]",,,,[103],False,Representative for Ohio's 12th congressional district,12,1995-01-03,,4917,,Republican,400590,,representative,Representative,,,1993-01-05,OH,Rep.,Representative,,http://thomas.loc.gov/cgi-bin/bdquery/z?d103:hres278:,"H.Res. 278 (103rd): Amending the Rules of the House of Representatives to permit Members, in specified circumstances, to vote by secure electronic device from their districts.","Amending the Rules of the House of Representatives to permit Members, in specified circumstances, to vote by secure electronic device from their districts.","[[official, introduced, Amending the Rules of the House of Representatives to permit Members, in specified circumstances, to vote by secure electronic device from their districts.]]","Amending the Rules of the House of Representatives to permit Members, in specified circumstances, to vote by secure electronic device from their districts."
4,resolution,house_concurrent_resolution,H.Con.Res.,106,passed_concurrentres,1999-04-15,"This concurrent resolution was agreed to by both chambers of Congress on April 15, 1999. That is the end of the legislative process for concurrent resolutions. They do not have the force of law.",Agreed To (Concurrent Resolution),H.Con.Res. 68,,20099,1999-03-23,False,False,https://www.govtrack.us/congress/bills/106/hconres68,False,"[[datetime.datetime(1999, 3, 23, 15, 19), 3, Placed on the Union Calendar, Calendar No. 39., <calendar datetime=""1999-03-23T15:19:00-05:00"" state=""REPORTED"" calendar=""Union"" number=""39"">
      <text>Placed on the Union Calendar, Calendar No. 39.</text>
    </calendar>
    ], [datetime.datetime(1999, 3, 25, 19, 27), 4, On agreeing to the resolution Agreed to by the Yeas and Nays: 221 - 208 (Roll no. 77)., <vote how=""roll"" type=""vote"" roll=""77"" datetime=""1999-03-25T19:27:00-05:00"" where=""h"" result=""pass"" state=""PASS_OVER:HOUSE"">
      <text>On agreeing to the resolution Agreed to by the Yeas and Nays: 221 - 208 (Roll no. 77).</text>
    </vote>
    ], [datetime.datetime(1999, 3, 25, 0, 0), 11, Resolution agreed to in Senate in lieu of S.CON.RES. 20 with an amendment by Yea-Nay Vote. 55-44. Record Vote No: 81., <vote how=""roll"" type=""vote2"" roll=""81"" datetime=""1999-03-25"" where=""s"" result=""pass"" state=""PASS_BACK:SENATE"">
      <text>Resolution agreed to in Senate in lieu of S.CON.RES. 20 with an amendment by Yea-Nay Vote. 55-44. Record Vote No: 81.</text>
    </vote>
    ], [datetime.datetime(1999, 4, 14, 13, 33), 30, On agreeing to the conference report Agreed to by the Yeas and Nays: 220 - 208 (Roll no. 85)., <vote how=""roll"" type=""conference"" roll=""85"" datetime=""1999-04-14T13:33:00-04:00"" where=""h"" result=""pass"" state=""CONFERENCE:PASSED:HOUSE"">
      <text>On agreeing to the conference report Agreed to by the Yeas and Nays: 220 - 208 (Roll no. 85).</text>
      <reference ref=""CR  H1996"" label=""consideration""/>
    </vote>
    ], [datetime.datetime(1999, 4, 15, 0, 0), 8, Senate agreed to conference report by Yea-Nay Vote. 54-44. Record Vote No: 86., <vote how=""roll"" type=""conference"" roll=""86"" datetime=""1999-04-15"" where=""s"" result=""pass"" state=""PASSED:CONCURRENTRES"">
      <text>Senate agreed to conference report by Yea-Nay Vote. 54-44. Record Vote No: 86.</text>
      <reference ref=""CR  S3756"" label=""consideration""/>
    </vote>
    ]]",resolution,68,,,,thomas-congproj,,K000016,1952-05-13,1620,John,male,Male,400590,Kasich,https://www.govtrack.us/congress/members/john_kasich/400590,R.,"Rep. John Kasich [R-OH12, 1983-2000]",,,N00009778,,"Kasich, John (Rep.) [R-OH12, 1983-2000]",,,,[106],False,Representative for Ohio's 12th congressional district,12,2001-01-03,,4920,,Republican,400590,,representative,Representative,,,1999-01-06,OH,Rep.,Representative,,http://thomas.loc.gov/cgi-bin/bdquery/z?d106:hconres68:,H.Con.Res. 68 (106th): Congressional Budget resolution,Congressional Budget resolution,"[[popular, None, Congressional Budget resolution], [popular, None, FY2000 Budget Resolution bill], [short-partial, passed senate, Federal Tobacco Recovery and Medicare Prescription Drug Benefits Resolution of 1999], [official, introduced, Establishing the congressional budget for the United States Government for fiscal year 2000 and setting forth appropriate budgetary levels for each of fiscal years 2001 through 2009.], [official, agreed to by house and senate, Establishing the congressional budget for the United States Government for fiscal year 2000 and setting forth appropriate budgetary levels for each of fiscal years 2001 through 2009.]]",Congressional Budget resolution
5,resolution,house_resolution,H.Res.,106,referred,1999-02-12,"This resolution was introduced on February 12, 1999, in a previous session of Congress, but was not enacted.",Referred to Committee,H.Res. 72,,14016,1999-02-12,False,False,https://www.govtrack.us/congress/bills/106/hres72,False,"[[datetime.datetime(1999, 2, 12, 0, 0), 2, Referred to the House Committee on House Administration., <action datetime=""1999-02-12"" state=""REFERRED"">
      <text>Referred to the House Committee on House Administration.</text>
    </action>
  ]]",resolution,72,,,,thomas-congproj,,K000016,1952-05-13,1620,John,male,Male,400590,Kasich,https://www.govtrack.us/congress/members/john_kasich/400590,R.,"Rep. John Kasich [R-OH12, 1983-2000]",,,N00009778,,"Kasich, John (Rep.) [R-OH12, 1983-2000]",,,,[106],False,Representative for Ohio's 12th congressional district,12,2001-01-03,,4920,,Republican,400590,,representative,Representative,,,1999-01-06,OH,Rep.,Representative,,http://thomas.loc.gov/cgi-bin/bdquery/z?d106:hres72:,H.Res. 72 (106th): Providing amounts for the expenses of the Committee on the Budget in the One Hundred Sixth Congress.,Providing amounts for the expenses of the Committee on the Budget in the One Hundred Sixth Congress.,"[[official, introduced, Providing amounts for the expenses of the Committee on the Budget in the One Hundred Sixth Congress.]]",Providing amounts for the expenses of the Committee on the Budget in the One Hundred Sixth Congress.
6,bill,house_bill,H.R.,106,referred,2000-10-19,"This bill was introduced on October 19, 2000, in a previous session of Congress, but was not enacted.",Referred to Committee,H.R. 5507,,14257,2000-10-19,False,False,https://www.govtrack.us/congress/bills/106/hr5507,False,"[[datetime.datetime(2000, 10, 19, 0, 0), 2, Referred to the Committee on House Administration, and in addition to the Committee on Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned., <action datetime=""2000-10-19"" state=""REFERRED"">
      <text>Referred to the Committee on House Administration, and in addition to the Committee on Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.</text>
    </action>
    ]]",bill,5507,,,,thomas-congproj,,K000016,1952-05-13,1620,John,male,Male,400590,Kasich,https://www.govtrack.us/congress/members/john_kasich/400590,R.,"Rep. John Kasich [R-OH12, 1983-2000]",,,N00009778,,"Kasich, John (Rep.) [R-OH12, 1983-2000]",,,,[106],False,Representative for Ohio's 12th congressional district,12,2001-01-03,,4920,,Republican,400590,,representative,Representative,,,1999-01-06,OH,Rep.,Representative,,http://thomas.loc.gov/cgi-bin/bdquery/z?d106:hr5507:,H.R. 5507 (106th): Informed Voter Act of 2000,Informed Voter Act of 2000,"[[short, introduced, Informed Voter Act of 2000], [official, introduced, To amend the Federal Election Campaign Act of 1971 to promote the disclosure of information on the financing of campaigns for Federal elections, and for other purposes.]]",Informed Voter Act of 2000
7,bill,house_bill,H.R.,106,referred,1999-11-08,"This bill was introduced on November 8, 1999, in a previous session of Congress, but was not enacted.",Referred to Committee,H.R. 3252,,17818,1999-11-08,False,False,https://www.govtrack.us/congress/bills/106/hr3252,False,"[[datetime.datetime(1999, 11, 8, 0, 0), 2, Referred to the Committee on the Judiciary, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned., <action datetime=""1999-11-08"" state=""REFERRED"">
      <text>Referred to the Committee on the Judiciary, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.</text>
    </action>
    ]]",bill,3252,,,,thomas-congproj,,K000016,1952-05-13,1620,John,male,Male,400590,Kasich,https://www.govtrack.us/congress/members/john_kasich/400590,R.,"Rep. John Kasich [R-OH12, 1983-2000]",,,N00009778,,"Kasich, John (Rep.) [R-OH12, 1983-2000]",,,,[106],False,Representative for Ohio's 12th congressional district,12,2001-01-03,,4920,,Republican,400590,,representative,Representative,,,1999-01-06,OH,Rep.,Representative,,http://thomas.loc.gov/cgi-bin/bdquery/z?d106:hr3252:,H.R. 3252 (106th): Internet Tax Elimination Act,Internet Tax Elimination Act,"[[short, introduced, Internet Tax Elimination Act], [official, introduced, To amend the Internet Tax Freedom Act to make permanent and extend its moratorium on certain taxes, and for other purposes.]]",Internet Tax Elimination Act
8,resolution,house_joint_resolution,H.J.Res.,106,referred,1999-04-29,"This resolution was introduced on April 29, 1999, in a previous session of Congress, but was not enacted.",Referred to Committee,H.J.Res. 49,,15179,1999-04-29,False,False,https://www.govtrack.us/congress/bills/106/hjres49,False,"[[datetime.datetime(1999, 4, 29, 0, 0), 2, Referred to the House Committee on Government Reform., <action datetime=""1999-04-29"" state=""REFERRED"">
      <text>Referred to the House Committee on Government Reform.</text>
    </action>
    ]]",resolution,49,,,,thomas-congproj,,K000016,1952-05-13,1620,John,male,Male,400590,Kasich,https://www.govtrack.us/congress/members/john_kasich/400590,R.,"Rep. John Kasich [R-OH12, 1983-2000]",,,N00009778,,"Kasich, John (Rep.) [R-OH12, 1983-2000]",,,,[106],False,Representative for Ohio's 12th congressional district,12,2001-01-03,,4920,,Republican,400590,,representative,Representative,,,1999-01-06,OH,Rep.,Representative,,http://thomas.loc.gov/cgi-bin/bdquery/z?d106:hjres49:,"H.J.Res. 49 (106th): To designate the Village of Sunbury, Ohio, as “Flagville, U.S.A.”.","To designate the Village of Sunbury, Ohio, as “Flagville, U.S.A.”.","[[official, introduced, To designate the Village of Sunbury, Ohio, as ""Flagville, U.S.A."".]]","To designate the Village of Sunbury, Ohio, as “Flagville, U.S.A.”."
9,bill,house_bill,H.R.,106,referred,1999-02-03,"This bill was introduced on February 3, 1999, in a previous session of Congress, but was not enacted.",Referred to Committee,H.R. 3,,15196,1999-02-03,False,False,https://www.govtrack.us/congress/bills/106/hr3,False,"[[datetime.datetime(1999, 2, 3, 0, 0), 2, Referred to the House Committee on Ways and Means., <action datetime=""1999-02-03"" state=""REFERRED"">
      <text>Referred to the House Committee on Ways and Means.</text>
    </action>
  ]]",bill,3,,,,thomas-congproj,,K000016,1952-05-13,1620,John,male,Male,400590,Kasich,https://www.govtrack.us/congress/members/john_kasich/400590,R.,"Rep. John Kasich [R-OH12, 1983-2000]",,,N00009778,,"Kasich, John (Rep.) [R-OH12, 1983-2000]",,,,[106],False,Representative for Ohio's 12th congressional district,12,2001-01-03,,4920,,Republican,400590,,representative,Representative,,,1999-01-06,OH,Rep.,Representative,,http://thomas.loc.gov/cgi-bin/bdquery/z?d106:hr3:,H.R. 3 (106th): 10 Percent Tax Cut Act,10 Percent Tax Cut Act,"[[popular, None, Ten Percent Tax Cut bill], [short, introduced, 10 Percent Tax Cut Act], [official, introduced, To amend the Internal Revenue Code of 1986 to reduce individual income tax rates by 10 percent.]]",10 Percent Tax Cut Act
